HLLG #,Read bibliography
339,"Jarrega 1991, 22; Carr 2002, 212"
340,"García-Entero, Los balnea, 658"
342,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 737

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana-Palma del Río-Posadas, París, 50-51.

Carr 2002, 210"
343,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 811; Carr 2002, 212

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 208."
344,"Jarrega 1991, 22
Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2
García-Entero, Los balnea, 658

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 40-41."
345,"Jarrega 1991, 22"
346,
347,"Jarrega 1991, 23

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 83."
348,
349,
350,
351,
352,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 812

García-Entero, Los balnea, 658

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 80-81."
353,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 808

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 209."
354,"Jarrega 1991, 23

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 817

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 90."
355,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 734

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 46."
356,"AAA 2000, III.1, 681-683"
357,"Jarrega 1991, 22

García-Entero, Los balnea, 643"
358,
359,
360,
361,"Juan Tovar, ""Las Industrias ceramicas hispanas en el bajo imperio,"" 1997, 545"
362,
363,"AAA 2006, 4461-4479"
364,
365,
366,
367,"Peña Cervantes 2010, Torcularia, vol. 2, 597"
368,
369,
370,
371,"Manuel Ángel Castillo Rueda, Margarita Orfila Pons, María Isabel Mancilla Cabello, Miguel Díaz Marín, and Pilar Aragón Maza, ""Intervención arqueológica de emergencia sobre los restos de la villa hispanorromana de ""El Tesorillo"" (Cortijo de la Tiena la Alta, Moclín, Granada,"" AAA 1997, III, 320-327"
372,"Pérez 2011-2012 (Romula) for olive production

Manuel Romero Pérez, ""Yacimiento arqueologico : Prado del Verdún,"" AAA 1987, III, 446-448."
373,"Raquel Alors Reifs, José M. Lara Fuillerat, and Pedro J. Lacort Navarro, ""El yacimiento romano de Cerro Cocorrón (Montilla, Córdoba),"" Boletín de la Asociación Provincial de Museos Loca- les de Córdoba 3 (2002), 125-142.

Silvia María Morales Ortiz, ""Molinos romanos localizados en el término municipal de Montilla (Córdoba),"" Boletín de la Asociación Provincial de Museos Locales de Córdoba 9 (2008), 131-147, at 137-139"
374,
375,
376,
377,"Peña Cervantes 2020, Torcularia, vol. 2, 496"
378,
379,
380,
381,Assuming this is the big tower on the hilltop inside the city
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,"Jarrega 1991, 65
Peña Cervantes 2010, Torcularia, vol. 2, 501"
399,"Jarrega 1991, 23; Carr 2002, 210; García-Entero, Los balnea, 592"
401,Jarrega 1991
402,
403,"Carr 2002, 212
García-Entero, Los balnea, 660, as being in Puebla de los Infantes"
404,
405,"Jarrega 1991
O. Bourgeon, “Baetican olive-oil trade under the Late Empire: new data on the production of Late Roman amphorae (Dressel 23) in the lower Genil valley,” Journal of Roman Archaeology 30: 517–529, at 523"
406,"Peña Cervantes 2010, Torcularia, vol. 2, 504"
407,"O. Bourgeon, “Baetican olive-oil trade under the Late Empire: new data on the production of Late Roman amphorae (Dressel 23) in the lower Genil valley,” Journal of Roman Archaeology 30: 517–529, at 523"
408,"Jarrega 1991, 23"
409,"Jarrega 1991, 23; Carr 2002, 213"
410,"Jarrega 1991, 23

Peña Cervantes, 2010, Torcularia, vol. 2, 507"
411,"Peña Cervantes 2010, Torcularia, vol. 2, 506"
412,"O. Bourgeon, “Baetican olive-oil trade under the Late Empire: new data on the production of Late Roman amphorae (Dressel 23) in the lower Genil valley,” Journal of Roman Archaeology 30: 517–529, at 523

José Remesal Rodríguez, ""Tres nuevos centros productores de ánforas Dressel 20 y 23. Los sellos de Lvcivs Fabivs Cilo,” Ariadna 6 (1989), 121-153. "
413,"Jarrega 1991, 23


O. Bourgeon, “Baetican olive-oil trade under the Late Empire: new data on the production of Late Roman amphorae (Dressel 23) in the lower Genil valley,” Journal of Roman Archaeology 30: 517–529, 523"
414,
415,"Jarrega 1991, 63

Ponsich, vol. 2, 127

García-Entero, Los balnea, 661"
416,"Jarrega 1991, 23
Peña Cervantes 2010, Torcularia, vol. 2, 484"
417,"García-Entero, Los balnea, 586"
418,
419,
420,
421,
422,
423,"Alvaro Fernández Flores and Inmaculada Carrasco Gómez, ""Los asentamientos rurales romanos del curso medio del río Viar (Sevilla),"" ROMVLA 12-13 (2013-2014), 95-124, at 105-107. "
424,
425,
426,"Jarrega 1991, 22

Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 823

Ponsich, M. 1979: Implantation rurale antique sur le Bas Guadalquivir. T II. La Campana- Palma del Río-Posadas, París, 94-95"
427,
428,
429,"Jarrega 1991, 23; Carr 2002, 213
Peña Cervantes 2010, Torcularia, vol. 2, 509
García-Entero, Los balnea, 593"
430,"Jarrega 1991, 23"
431,"Jarrega 1991, 23; Carr 2002, 213
Peña Cervantes 2010, Torcularia, vol. 2, 510"
432,"Jarrega 1991, 23; García-Entero, Los balnea, 593"
433,"Jarrega 1991, 23; Carr 2002, 213"
434,"Peña Cervantes 2010, Torcularia, vol. 2, 511

Carr 2002, 210"
436,
437,"Jarrega 1991, 23; Carr 2002, 213

Peña Cervantes 2010, Torcularia, vol. 2, 514"
438,
439,
440,"AAA 1997, II, 86-97"
441,
442,
443,
444,
445,
446,
447,"Jarrega 1991, 23"
449,
450,
451,"Garcia Vegas et al 2013, 364, try their best...

Luis Javier Guerrero Misa, ""Una iglesia paleocristiana en la Roda de Andalucía (Sevilla),"" CUADERNOS de Estepa 1 (2013), 46-59
"
452,
453,"Juan Tovar, ""Las Industrias ceramicas hispanas en el bajo imperio,"" 1997, 545; 

Murray C. McClellan, María Cristina Reinoso del Río, José María Gutiérrez López, and Michael Mackinnon, Investigación arqueológica de una villa romana de la Base naval de Rota (Cádiz),"" AAA 2000, III.1, 146-162. 

García-Entero, Los balnea, 587"
454,"Gil Fernández, Depósitos, conjuntos y realidades monetarias de la Bética en el bajo imperio (2001), 724

CHRE 17721"
455,"Jarrega 1991, 22

García-Entero, Los balnea, 661"
457,
458,
459,"Hunt Ortiz 2012, 73-89"
460,"Hunt Ortiz 2012, 73-89; Garcia Vegas et al 2013, ""El Bajo Guadalquivir,"" 356. "
461,
462,
463,
464,"AAA 2003.III, 137-150. "
465,
466,"García Pantoja, M.E.; Expósito, J.A.; Moncayo, F.J. 2009, ""El barrio industrial salazonero de Carteia. Primera aproximación al estudio de las excavaciones de 2007"", Almoraima, vol. 39, pp. 253-267

García Pantoja, M.E.; López Eliso, M. ; Moncayo, F.J. 2009, ""El registro numismático documentado en la intervención del arroyo de la Madre Vieja (San Roque, 2007). Composición y análisis"", Almoraima, vol. 39, pp. 313-327

Jose Angel Expósito Álvarez, María Eugenia García Pantoja, «Arroyo de la Madre Vieja I (San Roque, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/arroyo-de-la-madre-vieja-i), 08 November, 2016."
467,
468,"Garcia Vegas et al 2013, ""El Bajo Guadalquivir durante la Antigüedad Tardía (siglos III-VII d. C.). Ensayo de una tipología de asentamientos,"" 344-349. "
469,
470,
471,
472,"VRB; 	Anuario Arqueológico de Andalucía, 1986, T.III. Actividades de Urgencia, pp. 321-328"
473,"VRB; http://www.sevilla.org/plandesevilla/adef/doc/AD_ARQ_06.pdf


García-Entero, Los balnea, 628"
474,"VRB; AAA 1986, III, 268-270. "
475,VRB
476,VRB
477,VRB
478,"VRB; AAA 2001, III, 819-825"
479,VRB
480,"VRB; AAA 1997, 481-491"
481,"VRB; AAA 2003, III, Seville, 220. "
482,"Yolanda Peña Cervantes (2010), ""Torcularia,"" vol. 2, 826

Ponsich, M. 1974: Implantation rurale antique sur les Bas Guadalquivir. T I. Séville-Alcalá del Río-Lora del Río-Carmona, París, 178."
483,
484,
485,"Pilar Corrales Aguilar, «El Pinar / La Cizaña (Torremolinos, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/el-pinar-la-cizana), 26 November, 2016."
486,
487,
489,
490,
491,
492,
493,
494,"Jarrega 1991, 23"
495,
496,
497,"Jarrega 1991 23 and others
Ponsich 1974 (vol. 1), 131
García-Entero, Los balnea, 662"
498,
499,
500,
501,
502,
503,
504,"Antonio Ramón Navarrete Orcera, ""Estudio bibliográfico y mitológico del mosaico romano de Santisteban del Puerto,"" Boletín del Instituto de Estudios Giennenses 189 (2004), 131-150"
505,"J. L. Serrano Peña, “El Alto Guadalquivir en época tardorromana:
una visión arqueológica del problema”, en V. Salvatierra, C. Rísquez (eds.), De las sociedades agrícolas a la Hispania romana, Jornadas Históricas del Alto Guadalquivir, Quesada (1992-1995), Jaén, 1999, p. 279-295.

José Luis Serrano Peña, ""La Venta de Guarromán (Jaén), de establecimiento rural a iglesia paleocristiana,"" Romula, 12-13 (2013-2014) , 415-444"
506,"E. Serrano Ramos, “Notas sobre el yacimiento arqueológico de la Loma de Benagalbón”, Baetica, 15, 1993, p. 199-205.

Encarnación Serrano Ramos, “Arqueología romana malagueña: Torre de Benagalbón,” Baetica 8 (1986), 191-203

García-Entero, Los balnea, 616-619"
507,"For coins, Beltrán Fortes and Mora Serrano 1985"
508,
509,Expósito Álvarez 2004: 21-24
510,Expósito Álvarez 2004: 24-28
511,Expósito Álvarez 2004: 28-34
512,Expósito Álvarez 2004: 34-36
513,"Expósito Álvarez 2004: 36-39

Juan Miguel Pajuelo Sáez, Jose Manuel López Eliso, «Calle Huerta del Obispo, nº 10 (Cádiz, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/calle-huerta-del-obispo-no-10), 30 November, 2016."
514,"Expósito Álvarez 2004: 39-42

Juan Alonso de la Sierra Fernandez, ""Cerámicas foceas de barniz rojo (Late Roman C) en el valle del Guadalquivir y el Estrecho de Gibraltar,"" III Reunió d'Arqueologia Cristiana Hispanica, Mao (1988), 391-395 (Barcelona 1992)."
515,Expósito Álvarez 2004: 42-45
516,Expósito Álvarez 2004: 42-45
517,Expósito Álvarez 2004: 45-49
518,Expósito Álvarez 2004: 49-54
519,Expósito Álvarez 2004: 54-58
520,Expósito Álvarez 2004: 58-61
521,Expósito Álvarez 2004: 61-64
522,"Expósito Álvarez 2004: 64-66

Antonio M. Sáez Romero, «Plaza de Asdrúbal esquina a Avenida Amílcar Barca (edificio de la Junta de Andalucía) (Cádiz, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/plaza-de-asdrubal-esquina-a-avenida-amilcar-barca-edificio-de-la-junta-de-andalucia), 25 November, 2016."
523,Expósito Álvarez 2004: 66-69
524,Expósito Álvarez 2004: 69-74
525,Expósito Álvarez 2004: 74-76
526,Expósito Álvarez 2004: 76-78
527,Expósito Álvarez 2004: 78-84
528,Expósito Álvarez 2004: 84-87
529,"Expósito Álvarez 2004: 89-99

Jose Angel Expósito Álvarez, Dario Bernal Casasola, «Teatro Andalucía (Cádiz, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/teatro-andalucia), 06 November, 2016.

José Ángel Expósito Álvarez, ""Estudio del material arqueológico procedente de la cisterna de la factoría de salazón del Teatro Andalucía (Cádiz),"" AAA 2004.1, 183-189"
530,Expósito Álvarez 2004: 99-106
531,Expósito Álvarez 2004: 106-109
532,Expósito Álvarez 2004: 109-111
533,Expósito Álvarez 2004: 111-113
534,Expósito Álvarez 2004: 113-121
535,Expósito Álvarez 2004: 121-123
536,"Expósito Álvarez 2004: 123-133

Jose Angel Expósito Álvarez, Dario Bernal Casasola, «Club Náutico La Caleta (Cádiz, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/club-nautico-la-caleta), 06 November, 2016."
537,Expósito Álvarez 2004: 133-139
538,Expósito Álvarez 2004: 139-145
539,"Jarrega 1991, 23"
540,"Alejandro Caballero Cobos and Antonio Montes Rivas, ""La villa romana de Pago de Salazar (Granada) estructura de un asentamiento rural en el ""ager de Florentia Iliberritana""  Antiquitas 28 (2016), 75-107"
541,"Manuel Rubio Valverde, ""Nuevo asentamiento romano en el término municipal del Priego de Córdoba. El yacimiento de El Tajo (Zagrilla Alta),"" Antiquitas 23 (2011), 315-320"
542,mentioned in Serrano Peña 2013-2014
543,"MOLINOS, M.; RUIZ, A.; UNGUETTI,C. 1982: Excavaciones arqueológicas en la villa romana del Cerrillo del Cuco ( Santagón, Vilches, Jaén). Actas del I Congreso Andaluz de Estudios Clásicos. Jaén."
544,"Fernández Castro ""Villas romanas en Hispania"" 1982, 134; Chavarría Arnau 2007, 293

Javier Arce et al, ""El Edificio Octagonal de Valdetorres de Jarama,"" in  Congreso Internacional La Hispnnia de Teodosio. Vol.2, 1997: 321-337"
545,"AAA 1998, III, 504-511

Luis-Efrén Fernández Rodríguez, José Suárez Padilla and José Mayorga Mayorga, ""Intervención en la Abadía del Císter (Málaga). El edificio termal/ noticia preliminar,"" Mainake 23 (2001), 207-217. 

Oliva Rodríguez Gutiérrez, “Los baños públicos urbanos de la Bética: del continente y el contenido,” in Termas públicas de Hispania (2020), 635-660, at 652"
546,AAA 2006 1543 ff
547,
548,"Chavarría Arnau, El final (2007), 209; García-Entero, Los balnea (2005), 75

Rafael González Fernández, Francisco Fernández Matallana, and José Antonio Zapata Parra, ""La villa romana de Los Villaricos (Mula, Murcia): un gran centro productor de aceite en la Hispania Tarraconense,"" Archivo Español de Arqueología 91 (2018), 89-113.

Manuel Lechuga Galindo, ""El conjunto termal de la villa romana de Los Villaricos (Mula),"" AnMurcia 17-18 (2001-2002), 477-494

G. Matilla Séiquer and I. Pelegrín García, ""El cerro de la Almagra y Villaricos. Sobre el poblamiento urbano y su entorno en los siglos de la Antigüedad Tardía, Antigüedad y Cristianismo II, Del Conventus Carthaginiensis a la Chora de Tudmîr, Murcia 1985, 281-302, at 290-292

M. Lechuga Galindo, R. González Fernández, and F. Fernández Matallana, “Un recinto de planta absidal en el yacimiento de Los Villaricos, Mula, Murcia,"" Antigüedad y Cristianismo 21 (2004), 171-181.

González Fernández, R. y Fernández Matallana, F. 2010a: “Mula: el  final de una ciudad de la cora de Tudmîr”, Pyrenae 41-2, 81-119.

R. González Fernández and F. Fernández Matallana, “La villa de Los Villaricos (Mula, Murcia). Un ejemplo de asentamiento rural romano”, in Poblamiento rural romano en el Sureste de Hispania. 15 años después, edited by J. M. Noguera Celdrán, 321-349 (Murcia, 2010).


Rafael González Fernández, Francisco Fernández Matallana, and José Antonio Zapata Parra, ""Los Villaricos,"" in Villae: Vida y producción rural en el sureste de Hispania, ed. José Miguel Noguera Celdrán (Murcia: 2019), 156-160.

Rafael González Fernández, Francisco Fernández Matallana, and José Antonio Zapata Parra, ""Sobre la producción del primer torcularium de la villa romana de Los Villaricos (Mula, Murcia),"" Zephyrus 81 (2018), 165-186.

"
550,"Murcia Muñoz, A. J. 2011-2012: “La pars fructuaria de la Fuente de la Teja (Caravaca de la Cruz, Murcia): aspectos tecnológicos y productivos”, Anales de Prehistoria y Arqueología 27-28, 319- 327.

A. J. Murcia, ""La Fuente de la Teja: una instalación oleícola de época altoimperial junto a la Vega del Río Argos (Caravaca de la Cruz, Murcia),"" AnMurcia 13-14 (1997-1998), 211-226.

Antonio Javier Murcia Muñoz, ""Fuente de la Teja,"" in Villae: Vida y producción rural en el sureste de Hispania, ed. José Miguel Noguera Celdrán (Murcia: 2019), 167-171. 

Antonio Javier Murcia Muñoz, “Intervención arqueológica en el yacimiento romano de la Fuente de la Teja (Caravaca de la Cruz, Murcia). Fases de ocupación,"" MemAMurcia 14 (2006), 185-212."
551,"Teichner, F. 2011-2012: “La producción de aceite y vino en la villa romana de Milreu (Estói): el éxito del modelo catoniano en la Lusitania”, Anales de Prehistoria y Arqueología 27-28, 471-484; Chavarría Arnau 2007, 279-283; García-Entero, Los balnea, 422-430

F. Teichner, “De lo romano a lo árabe. La etapa de transición del sur de la provincia de Lusitania a Al-Gharb Al-Andalus (Nuevas investigaciones en los yacimientos de Milreu y Cerro da Vila)”, en A. Chavarría, J. Arce y G.P. Brogiolo (eds.), Villas tardoantiguas en el Mediterraneo occidental (Anejos de AEspA, 39), 2006 (e.p.).


Félix Teichner, ""La pars urbana tardorromana de la Villa de Milreu (Estói, Portugal): nuevos descubrimientos y antiguos documentos,"" in Las ""villae"" tardorromanas en el Occidente del Imperio. Arquitectura y función, ed. Carmen Fernández Ochoa, Virginia García Entero, and Fernando Gil Sendino (Gijón, 2008), 731-740

Pilar Reis 2004, 113-115"
552,"Pérez 2011-2012 (Romula) for olive production

Peña Cervantes 2010, Torcularia, vol. 2, 628"
553,Pérez 2011-2012 (Romula) for olive production
554,Pérez 2011-2012 (Romula) for olive production
555,"Pérez 2011-2012 (Romula) for olive production

Manuel Romero Pérez, ""Yacimiento arqueológico del Cerro de la Fuente (Mollina-Málaga),"" AAA 1987, III, 457-460."
557,"Manuel Romero Pérez, ""Producción oleícola durante la Antigüedad en la depresión de Antequera: estudios en el ager antikariensis y singiliensis"" AnMurcia 27-28 (2011-2012), 381-399, at 391"
558,Pérez 2011-2012 (Romula) for olive production
559,Pérez 2011-2012 (Romula) for olive production
560,
561,Pérez 2011-2012 (Romula) for olive production
562,Pérez 2011-2012 (Romula) for olive production
563,"
Manuel Romero Pérez, ""Producción oleícola durante la Antigüedad en la depresión de Antequera: estudios en el ager antikariensis y singiliensis"" AnMurcia 27-28 (2011-2012), 381-399, at 389
"
564,"Manuel Romero Pérez, ""Producción oleícola durante la Antigüedad en la depresión de Antequera: estudios en el ager antikariensis y singiliensis"" AnMurcia 27-28 (2011-2012), 381-399, at 392

Manuel Perdiguero, ""La fase romana en Arastipi (Cauche el Viejo, Antequera): el molino de aceite,"" Mainake 17-18 (1995-1996), 125-170.

Manuel Perdiguero, ""La fase romana en Aratispi (Cauche el Vijeo, Antequera): una posible Taberna vinaria,"" Mainake 21-22 (1999-2000), 99-128. "
565,Pérez 2011-2012 (Romula) for olive production
566,Pérez 2011-2012 (Romula) for olive production
567,"CAMPO, M. (1990): Las monedas de la villa romana de la Olmeda, Palencia; MANY MORE IN ZOTERO; Jaime Gutiérrez Pérez 2015, ""Sobre la presencia de terra Sigillata Hispánica tardía en el entorno de Saldaña (Palencia). Revisión crítica de los datos disponibles y aportación de nuevos datos,"" in Ex officina hispana: cuadernos de la SECAH, 2, 325-336

Jaime Gutiérrez Pérez, ""La Terra Sigillata Hispánica Tardía procedente de la villa romana La Olmeda (Pedrosa de la Vega, Palencia) una introducción sobre un conjunto excepcional,"" in Ex Officina Hispana II:  As Produçöes ceramicas de imitaçao na Hispania (2014), 521- 535.

Marta Campo, Las monedas de la villa romana de La Olmeda (Palencia 1990) 

Miguel Nozal Calvo and Fernando Puertas Gutiérrez. La terra sigillata paleocristiana gris en la villa romana de La Olmeda. Valladolid: University of Valladolid, 1995. 

García-Entero, Los balnea, 78


José Antonio Abásolo Álvarez, ""Los últimos dias de La Olmeda,"" PITTM 86 (2015), 7-20
"
568,"Garrigós i Albert. I. (2016). Un tresoret tardoromà al Tossal de les Basses (Alacant). Lucentum, XXXV, 245-264

P. Rosser Limiñana and S. i Soler Ortiz, ""La necrópolis tardo-antigua del Tossal de les Basses (Alicante, España): tipología y primera aproximación interpretativa y cronológica,"" Saguntum (PLAV) 47 (2015), 147-174; 

Pablo Rosser Limiñana, ed. Tossal de les Basses, seis mil años de historia de Alicante. Alicante: Ayuntamiento de Alicante. 2007. "
569,Suarez et al 1987
571,"AAA 2004.1, 2501-2505"
572,"Eduardo Penedo Cobo, Jorge Morín de Pablos, and Rafael Barroso Cabrera, (2002). La ocupación romana e hispanovisigoda en el Arroyo Culebro (Leganés),"" in Vida y muerte en Arroyo Culebro (Leganés), ed. Pilar Oñate Baztán (Madrid, 2002), 127-188

Eduardo Penedo Cobo, Jorge Morín de Pablos, Rafael Barroso Cabrera, Pilar Oñate Baztán, and Juan Sanguino Vázquez, ""Un yacimiento hispanovisigodo en el Arroyo Culebro (Leganés, Madrid),"" Caesaraugusta 78 (2007), 673-686"
573,"Raquel Cases Esteban 2016 MA
Peña Cerantes 2010, Torcularia, vol. 2, 450-51
García-Entero, Los balnea, 52

Francisco Gusi Gener and Carmen de Gusi, ""La villa romana de Benicató, Nules, Castellón,"" CuadPACast 4 (1997), 101-144.

F. Cisneros Fraile, ""El vino en el hinterland del Portus de Saguntum (ss. I a.C.-I d.C.),"" Saguntum 34 (2002), 127-136, at 129.

Ferran Arasa i Gil, ""Mosaics romans a les comarques septentrionals del País Valencià,"" Saguntum 31 (1998), 213-224, at 214-218. 

Ferran Arasa i Gil, ""Les comarques septentrionals del Litoral Valencià entre els segles IV i VI,"" Annals de l'Institut d'Estudis Gironins,  Nº 37 (1996-1997), 1145-1160, at 1151.

Francesc Gusi Jener, ""Treballs de consolidació a la vil.la romana de Benicató (Nules, la Plana Baixa),"" Quaderns de prehistòria i arqueologia de Castelló 20 (1999), 369-374

R. R. Ripollès Alegre, ""Estudio numismàtico en la villa de Benicató (Nules, Castellón),"" Cuadernos de Prehistòria y Arqueologia Castellonenses 4 (1977), 145-154.

E. Blanes, ""Reconsiderant la vil·la romana de Benicató,"" Estudis Castellonencs 4 (1987-1988), 585-611


Josep Benedito Nuez, Juan José Ferrer Maestro, and José Manuel Malchor Monserrat, ""De la tardoantigüedad al medievo: un enfoque crítico acerca de los estudios arqueológicos en la ciudad de
Saguntum y su territorio en época visigoda,"" Antigüedad y Cristianismo 37 (2020), 5-28, at 14-15"
574,"Alejandro Fornell Muñoz, ""Nuevas aportaciones al poblamiento romano de la Vega de Granada: las uillae de La Zubia,"" Iberian revista digital de la historia 4 (2012), 40-54"
575,http://www.redjaen.es/francis/?m=c&o=6293&letra=&ord=&id=90152
576,
577,http://www.redjaen.es/francis/?m=c&o=6293&letra=&ord=&id=90152
578,http://www.redjaen.es/francis/?m=c&o=6293&letra=&ord=&id=90152
579,http://www.redjaen.es/francis/?m=c&o=6293&letra=&ord=&id=90152
580,
581,
582,http://www.redjaen.es/francis/?m=c&o=6293&letra=&ord=&id=90152
583,http://www.redjaen.es/francis/?m=c&o=6293&letra=&ord=&id=90152
585,"Quirós and Barrios, ""Depósito numismático bajoimperial en c/ Ganado 21/23 (El Puerto de Santa María, Cádiz),"" Revista de Historia de El Puerto 16 (1996), 11-26; 

Lázaro G. Lagostena Barrios, José Torres Quirós, and Oscar Lapeña Marchena, ""Aproximación a la ocupación tardorromana en la desembocadura del río Guadalete (Puerto de Santa María. Cádiz),"" Anales de la Universidad de Cádiz 11 (1996,), 95-122, at 102-104"
587,"Bartolomé Mora Serrano 2007, ""Moneda tardoantigua en Malaca (Málaga): un ocultamiento monetario del siglo V d.C. procedente del teatro romano,"" Numisma 251 (2007), 191-212.

Pilar Corrales Aguilar and Itziar Merino Matas, ""Las instalaciones salsarias del teatro romano de Málaga: el sector de la calle Alcazabilla,"" in Aportaciones a la Malaca tardorromana y bizantina: Excavaciones arqueológicas en la factoría de salazones del teatro romano de Málaga (siglos IV-VI d.C.), ed. Manuel Corrales Aguilar (2017), 83-141. 

Bartolomé Mora Serrano, ""Las monedas procedentes de la factoría de salazones y su entorno,"" in Aportaciones a la Malaca tardorromana y bizantina: Excavaciones arqueológicas en la factoría de salazones del teatro romano de Málaga (siglos IV-VI d.C.), ed. Manuel Corrales Aguilar (2017), 167-200. 

Encarnación Serrano Ramos, ""La vajilla de mesa en el territorio malacitano a partir de la extinción de la T.S.H.,"" Baetica 23 (2001), 377-423, charts on 404-415.

Encarnación Serrano Ramos, ""Cerámicas con motivos estampados halladas en el Teatro Romano de Málaga,"" Mainake 8-9 (1987-1988), 201-214.

Manuel Corrales Aguilar, ""El teatro romano de Málaga: evolución de un espacio,"" Mainake 29 (2007), 53-76. 

Ramón Fernández-Baca Casares and Antonio Tejedor Cabrera, ""Conservación y uso de los teatros romanos: el caso del teatro romano de Málaga,"" Mainake 29 (2007), 77-101.
"
588,"Bartolomé Mora Serrano and Cristina Martínez Ruiz 2011, ""Un nuevo hallazgo de moneda bizantina en ""Malaca"" (Málaga): El conjunto monetario de calle Cañón-Postigo de los Abades,"" Saguntum 40 (2008), 193-204. 

Bartolomé Mora Serrano, ""Sigillatas gálicas paleocristianas (producciones grises) procedentes de las excavaciones de la Catedral de Málaga,"" Mainake 13-14 (1991-1992), 267-272. 

B. Mora Serrano and D. Sedeño Ferrer, ""Tesoro de aurei hallado en Málaga,"" Mainake 10 (1988), 101-111

"
589,"J. R. Carrillo, ""Testimonios sobre la producción de aceite en época romana en la Subbética cordobesa,"" Antiquitas 6 (1995), 53-91, 68.

Peña Cervantes 2010, Torcularia, vol. 2, 528

José Ramón Carrillo Díaz-Pinés, ""La producción de aceite en el interior de la Bética: la Subbética cordobesa,"" AnMurcia 27-28 (2011-2012), 349-379, at 363"
590,"J. A. Salvador Oyonate, ""Prospección y seguimiento arqueológico de la A-334, Trame Cucador Albox,"" AAA 2008, 164-168, at "
591,"AAA 2008, 200-215. "
592,"AAA 2008, 690-706, at 694-95. "
593,"AAA 2008, 1086-1104"
594,"Alejandro Caballero Cobos and Andrés M. Adroher Aurox, ""Campaña de elaboración de planimetrías y estudio de materiales de Cerro Cepero,"" AAA 2008, I, 2019-2044

Marta Pavía Page, “Termas públicas de Hispania citerior: cronología, modelos e inserción urbana,” in Termas públicas de Hispania (2020), 265-282, at 269
"
595,"AAA 2008, 3030-3037"
596,"Pérez Macías, J.A. 2002, ""La figlina de Pinguele (Bonares, Huelva, España)"", In: Vivre, produire et échanger: reflets méditerranéens. Melanges offerts à Bernard Liou, Montagnac."
597,"AAA 2008, 3975-3984, at 3979"
598,"AAA 2008, 3975-3984, at 3981"
599,"AAA 2008, 4579-4589"
600,"Verónica Temprano Uribasterra and Marta Bejarano Fernández, ""Intervención arqueológica preventiva en calle Santa Lucía,"" AAA 2008, 4711-4722. "
601,"AAA 2008, 5183-5195. Lots of unpublished material referenced in the bibliography of Rodríguez de Guzmán de Sanchez 2012"
602,"AAA 2008, 5573-5604"
603,"AAA 2008, 5642-5648"
604,"Ramón Járrega Domínguez, ""Las últimas importaciones romanas de cerámica en el este de Hispania Tarraconensis: una aproximación,"" 145; Chavarría Arnau 2007, 183; Isidro Martínez Mira, ""Tesorillos del s. III d.C. en la Península Ibérica (I),"" 135.

Tarrats, F.; Macias, J. M.; Ramón, E.; Remolà, J. A. (1998). “Excavacions a l’àrea residencial de la vil·la romana dels Munts (Altafulla, Tarragonès)”. Empúries 51 (1998), 197-225

García-Entero, Los balnea, 81"
